,title,description,datetime,category,agency
48,نرخ فلزات گرانبها در بازار‌های جهانی امروز ۴ آبان ۱۴۰۱,"قیمت هر انس طلا با ۰.۲۱ درصد افزایش نسبت به روز گذشته، برابر ۱,۶۵۶.۴۷ دلار در معاملات بازار فلزات گرانبها داد و ستد شد.",2022-10-26 09:41:21,اخبار طلا و سکه,نبض بازار
49,شوک سکته قیمت دلار به بازار سکه / ۲پیش بینی از قیمت سکه,اقتصادنیوز: در شرایط فعلی دو نگاه متفاوت متفاوت به بازار سکه وجود دارد.عده ای از معامله گران معتقدند سکته ارزی قیمت دلار بر روی قیمت سکه اثر گذاشته است اما عده ای دیگر از معامله گران می گویند سکه به تدریج به حرکت در مسیر صعودی بازخواهد گشت.,2022-10-26 09:16:12,اخبار طلا و سکه,اقتصاد نیوز
50,گارد صعودی طلای جهانی در سومین روز معاملات,انس دومین روز پیاپی وضعیت صعودی خفیف دارد.,2022-10-26 09:01:55,اخبار طلا و سکه,مهر
51,طلا در مسیر صعود,قیمت طلا امروز(چهارشنبه ۲۶ اکتبر) در برابر دلار ثابت ماند، اگر چه قیمت طلا در بازه محدودی قرار گرفته بود و سرمایه‌گذاران منتظر گزارش بیشتر در مورد سیاست سختگیرانه فدرال رزرو آمریکا بودند.,2022-10-26 08:46:08,اخبار طلا و سکه,اقتصاد آنلاین
52,تداوم سایه سنگین کرونا روی شانه‌های اژدهای زرد,اقتصادنیوز: دیروز بازارهای جهانی طلا و نقره در پی گزارش پایین‌تر از پیش‌بینی‌ها درباره شاخص اعتماد مصرف‌کنندگان آمریکا در ماه اکتبر واکنش نشان داد‌. به این ترتیب با کاهش شاخص دلار آمریکا، روند قیمتی اونس طلا ونقره صعودی شد.,2022-10-26 01:11:18,اخبار طلا و سکه,اقتصاد نیوز
53,"گزارش بازار‌ها امروز ۳ آبان ۱۴۰۱ | قیمت بیت کوین تا ۱۳,۰۰۰ دلار کاهش خواهد یافت",به صورت روزانه نبض بورس وضعیت بازار‌های موازی بورس (بیت کوین، سکه، طلا و دلار) را بررسی خواهد کرد و ضمن مرور روند هفتگی این بازار‌ها به بررسی گزارش وضعیت قیمت و اخبار مهم بازار در همان روز خواهد پرداخت. بازار‌ها در روز جاری ۳ آبان ۱۴۰۱ چگونه بود؟,2022-10-25 19:51:26,اخبار طلا و سکه,نبض بورس
54,تاسيس شهرک صنفي طلا و جواهر يک نياز و يک امتياز براي صنف,رئيس اتحاديه سازندگان و فروشندگان طلا و جواهر تهران از ايجاد و تاسيس شهرک صنفي طلا و جواهر به عنوان يکي از اهداف هيئت مديره جديد اتحاديه نام برد و بيان داشت: ساخت اين شهرک موجب ساماندهي فعالان اين حوزه بوده و در واقع نياز صنف مي باشد که با تاسيس آن به امتياز بزرگي دست مي يابيم.,2022-10-25 16:46:06,اخبار طلا و سکه,سایت طلا
55,فضای مجازی بسترمناسبی برای خرید طلا نیست!,فضای مجازی یک بستر خوب و کاربردی برای همه صنوف است، اما برای خرید طلا که یک کالای خاص است خرید و فروش این فلز زرد دارای پیچیدگی‌های خاص خود را دارد.,2022-10-25 15:46:17,اخبار طلا و سکه,نبض بازار
56,ترمز قیمت طلا و سکه کشیده شد,شربیانی گفت: قیمت طلا و سکه در معاملات امروز با نوسان محدود داد و ستد می شود.,2022-10-25 15:31:36,اخبار طلا و سکه,سایت طلا
57,قیمت جهانی طلا امروز ۳ آبان ۱۴۰۱ / اونس ناتوان در صعود,قیمت هر اونس طلا امروز ۳ آبان به ۱۶۴۸ دلار و ۹۸ سنت رسید.,2022-10-25 15:11:38,اخبار طلا و سکه,نبض بازار
58,انواع سکه امروز چند شد؟ | ربع سکه ؛ ۵ میلیون و ۱۲۰ هزار تومان | جدول قیمت طلا و سکه ؛ ۳ آبان ۱۴۰۱,قیمت هر قطعه سکه تمام‌ بهار آزادی طرح جدید (امامی) به ۱۴ میلیون و ۸۹۶ هزار تومان رسید.,2022-10-25 15:11:33,اخبار طلا و سکه,همشهری آنلاین
59,افزایش قیمت دلار تهران با صعود دلار هرات,بازار ازر تهران امروز با چند شوک صعودی همراه بود.قیمت دلار به همین دلیل آرایش صعودی به خود گرفت.البته امروز قیمت طلا و سکه هم بالا تر از نرخ دیروز به فروش رسید .,2022-10-25 15:06:40,اخبار طلا و سکه,اقتصاد 24
60,ایران خودرو: هایما جدید 8S با هشت رنگ به بازار می‌آید (+عکس و مشخصات کامل خودرو),این محصول علاوه بر رنگ‌های پرطرفدار بازار، در هشت رنگ جدید و خاص شامل رنگ‌های نقره‌ای تیتانیوم، سبز کله غازی، قهوه‌ای نسکافه‌ای، آبی اقیانوسی، سرمه‌ای متال، قهوه‌ای کادرو، قرمز ونیزی و مشکی آبنوس به مشتریان عرضه خواهد شد.,2022-10-25 15:06:34,اخبار طلا و سکه,عصر ایران
61,کُندی تقاضا، سرعت‌گیر مسیر نفت,با کاهش دلار آمریکا، قیمت نفت خام امروز افزایش یافت؛ اگرچه عواملی همچون کندی رشد تقاضای سوخت مانعی بر سر افزایش بیشتر بود.,2022-10-25 14:10:51,اخبار طلا و سکه,اخبار ویژه
62,توصیه مهم رئیس اتحادیه طلا به خریداران طلا و سکه,رئیس اتحادیه طلا و جواهر تهران ضمن بیان توصیه هایی مهمی برای خرید مطمئن طلا و سکه گفت: مردم تا فراهم شدن بسترهای لازم و تدوین قوانین خرید و فروش طلا در فضای مجازی از معاملات آنلاین مصنوعات طلا و جواهر اجتناب کنند.,2022-10-25 13:46:17,اخبار طلا و سکه,سایت طلا
63,قیمت طلا و انواع آبشده در معاملات امروز ۳ آبان ۱۴۰۱ / افزایش نرخ طلای ۲۴ عیار,"در بازار طلا، قیمت هر گرم طلای ۲۴ عیار با افزایش ۰.۶۲ درصدی، به عدد ۱۷,۹۳۷,۰۰۰ ریال دست پیدا کرد.",2022-10-25 13:41:31,اخبار طلا و سکه,نبض بازار
64,احتمال افزایش نرخ بهره قیمت طلا را کاهش داد,قیمت هر اونس طلا امروز با ۰.۳۶ درصد کاهش به ۱۶۶۹ دلار و ۵ سنت رسید.,2022-10-25 13:31:43,اخبار طلا و سکه,اقتصاد آنلاین
65,۷ رمان خواندنی اسماعیل فصیح؛ نویسنده‌ای که نادیده‌اش گرفتند,,2022-10-25 12:51:37,اخبار طلا و سکه,دیجی کالا مگ
66,نرخ ارز، دلار، سکه، طلا و یورو سه آبان ۱۴۰۱,دلار امروز سوم آبان در صرافی ملی ۲۸ هزار و ۹۴۵ تومان فروخته می‌شود. نرخ هر گرم طلا ۱۸ عیار یک میلیون و ۳۴۲ هزار به ثبت رسید,2022-10-25 12:11:28,اخبار طلا و سکه,فرارو
67,قیمت طلا و دلار امروز سه شنبه 3 آبان 1401/ افزایش قیمت دلار,اقتصادنیوز: امروز قیمت دلار مسیر افزایش را دنبال کرد.,2022-10-25 11:51:40,اخبار طلا و سکه,اقتصاد نیوز
68,حرکت آهسته طلا در محدوده‌ نوسانی,پیرو کاهش دلار آمریکا و تغییرات قیمت در بازار سهام چین، طلا امروز در حدود سطح 1650 دلار در نوسان بود.,2022-10-25 11:45:26,اخبار طلا و سکه,اخبار ویژه
69,قیمت جهانی انواع فلزات گرانبها امروز ۳ آبان ۱۴۰۱,قیمت هر انس طلا با کاهش ۰.۱۸ درصدی، برابر ۱،۶۴۸.۸۴ دلار در معاملات بازار فلزات گرانبها داد و ستد شد.,2022-10-25 10:51:28,اخبار طلا و سکه,نبض بازار
70,یک شایعه در بازار سکه ایران معامله‌گران را دست به عصا کرد,در شرایط فعلی برخی از تحلیلگران بازار سکه معتقدند در صورتی فلز گران بهای داخلی مرز ۱۴ میلیون و ۸۰۰ هزار تومان را از دست بدهد این امر ممکن است زمینه ساز خروج عده ای از سکه بازان از بازار شود.,2022-10-25 10:31:29,اخبار طلا و سکه,سایت طلا
71,ردپای یک شایعه در بازار سکه ایران,اقتصاد نیوز : ،بازار سکه در روزهای اخیر از دو جناح مورد فشاز قرار گرفته است. از یک سو کاهش بهای اونس طلا و از طرفی هم قفل شدن معاملات اسکناس آمریکایی در تهران.,2022-10-25 10:26:03,اخبار طلا و سکه,دنیای اقتصاد
72,اُفت دلار، راه طلا را هموار کرد,در حالی که سرمایه‌گذاران منتظر دریافت سیگنال‌های بیشتر از ادامه کار افزایش نرخ بهره فدرال رزرو هستند، طلا امروز به دنبال کاهش دلار، افزایش یافت.,2022-10-25 10:17:30,اخبار طلا و سکه,اخبار ویژه
73,نوسان محدود قیمت جهانی طلا,اگرچه طلا به عنوان محافظ در برابر تورم در نظر گرفته می‌شود اما نرخ‌های بهره بالاتر هزینه فرصت نگهداری شمش با بازده صفر و در عین حال ارزش دلار و بازده اوراق قرضه را افزایش می‌دهد.,2022-10-25 10:11:27,اخبار طلا و سکه,سایت طلا
74,کاهش ارزش دلار، چراغ سبز صعود طلا شد,قیمت طلا امروز (سه‌شنبه، ۲۵ اکتبر) با کاهش ارزش دلار تقویت شد، در حالی که سرمایه‌گذاران منتظر نشانه‌های بیشتر در مسیر افزایش نرخ بهره فدرال رزرو آمریکا بودند.,2022-10-25 10:06:21,اخبار طلا و سکه,اخبار بانک
75,قیمت جهانی طلا امروز ۱۴۰۱/۰۸/۰۳,قیمت هر اونس طلا امروز با ۰.۰۵ درصد کاهش به ۱۶۴۸ دلار و ۹۸ سنت رسید.,2022-10-25 09:51:23,اخبار طلا و سکه,تسنیم
76,فرش قرمز برای بورس /شامه بازار دلار تیز شد,معامله‌گران می‌گویند از بازار دلار بوی نزول به مشام می‌رسد، از بازار سکه انتظار صعود می‌رود.,2022-10-25 07:31:26,اخبار طلا و سکه,اقتصاد نیوز
77,گزارش بازار‌ها امروز ۲ آبان ۱۴۰۱ | سقوط یا صعود قیمت بیت کوین,به صورت روزانه نبض بورس وضعیت بازار‌های موازی بورس (بیت کوین، سکه، طلا و دلار) را بررسی خواهد کرد و ضمن مرور روند هفتگی این بازار‌ها به بررسی گزارش وضعیت قیمت و اخبار مهم بازار در همان روز خواهد پرداخت. بازار‌ها در روز جاری ۲ آبان ۱۴۰۱ چگونه بود؟,2022-10-24 20:26:28,اخبار طلا و سکه,نبض بورس
78,آخرین قیمت سکه و طلا/ کاهش ۲۵ هزار تومانی سکه امامی,قیمت سکه امامی نسبت به دیروز با کاهش۲۵ هزار تومانی همراه است.,2022-10-24 18:51:17,اخبار طلا و سکه,مهر
79,۵۳ کیلوگرم شمش طلا در سبد خریداران بورس کالا,تالار محصولات صنعتی و معدنی بورس کالای ایران امروز (دوشنبه) میزبان دادوستد ۵۳ کیلوگرم شمش طلا بود.,2022-10-24 17:46:27,اخبار طلا و سکه,سایت طلا
80,زر ماکارون در عملکرد ۶ ماهه چه کرد؟,شرکت زر ماکارون با ارائه صورت های مالی ۶ ماهه حسابرسی نشده، ۳۷۳ ریال سود خالص برای هر سهم محقق کرد.,2022-10-24 17:46:26,اخبار طلا و سکه,نبض بورس
81,توصیه های طلایی برای خرید طلا و سکه,رئیس اتحادیه طلا و جواهر تهران ضمن بیان توصیه هایی مهمی برای خرید مطمئن طلا و سکه اعلام کرد که صنف طلا و جواهر از شفاف ترین صنوف است.,2022-10-24 16:16:22,اخبار طلا و سکه,سایت طلا
82,قیمت ربع سکه بهار آزادی دوشنبه دو آبان ۱۴۰۱,قیمت ربع سکه بهار آزادی امروز دوشنبه دوم آبان پنج میلیون و ۱۰۰ هزار تومان است که کمترین سطح این سکه ظرف یک هفته گذشته محسوب می‌شود,2022-10-24 15:51:36,اخبار طلا و سکه,فرارو
83,کاهش 100 هزار تومانی قیمت سکه/کاهش قیمتها ادامه دارد؟,امیریان گفت: سکه در معاملات امروز نسبت به روز گذشته 100 هزار تومان کاهش یافت.,2022-10-24 15:11:59,اخبار طلا و سکه,سایت طلا
84,قیمت نفت، چراغ سبزی برای مراکز حفاری,پیرو کاهش تقاضا به دلیل سیاست‌های کووید صفر و کاهش صادرات سوخت، امروز قیمت نفت 2 درصد کاهش یافت؛ نفت برنت نیز برخلاف هفته‌ی گذشته از این قاعده مستثنی نبود.,2022-10-24 14:58:01,اخبار طلا و سکه,اخبار ویژه
